event|R
afterprint|E
animationcancel|E
animationend|E
animationiteration|E
animationstart|E
appinstalled|E
beforeinstallprompt|E
beforeprint|E
beforeunload|E
blur|E
clipboardchange|E
copy|E
cut|E
devicemotion|E
deviceorientation|E
DOMContentLoaded|E
error|E
focus|E
gamepadconnected|E
gamepaddisconnected|E
hashchange|E
languagechange|E
load|E
message|E
messageerror|E
offline|E
online|E
orientationchange|E
pagehide|E
pageshow|E
paste|E
popstate|E
rejectionhandled|E
resize|E
storage|E
transitioncancel|E
transitionend|E
transitionrun|E
transitionstart|E
unhandledrejection|E
unload|E
vrdisplayactivate|E
vrdisplayblur|E
vrdisplayconnect|E
vrdisplaydeactivate|E
vrdisplaydisconnect|E
vrdisplayfocus|E
vrdisplaypresentchange|E
vrdisplaypointerrestricted|E
vrdisplaypointerunrestricted|E
